ν,LD-Alanina No Magnetizada Irradiada Petri,LD-Alanina No Magnetizada  Eppendorf,LD-Alanina Magnetizada Irradiada Petri,LD-Alanina Magnetizada  Eppendorf,LD-Alanina Irradiada No Magnetizada Eppendorf,LD-Alanina Irradiada Magnetizada Eppendorf,LD-Alanina  No Magnetizada Petri,LD-Alanina  Magnetizada Petri,L-Alanina No Magnetizada Irradiada Petri,L-Alanina No Magnetizada  Eppendorf,L-Alanina Magnetizada Petri,L-Alanina Magnetizada Irradiada Petri,L-Alanina Magnetizada Eppendorf,L-Alanina Irradiada No Magnetizada Eppendorf,L-Alanina Irradiada  Magnetizada Eppendorf,L-Alanina  No Magnetizada Petri,D-Alanina No Magnetizada Irradiada Petri,D-Alanina No Magnetizada Eppendorf,D-Alanina Magnetizada Irradiada Petri,D-Alanina Magnetizada Eppendorf,D-Alanina Irradiada No Magnetizada Eppendorf,D-Alanina Irradiada Magnetizada Eppendorf,D-Alanina  No Magnetizada Petri,D-Alanina  Magnetizada Petri
3969.0,99.658898,98.086489,97.282757,97.916623,97.960711,97.890144,96.989535,97.574533,98.008231,97.927617,98.076254,98.074267,98.384016,97.842635,98.36358,99.222157,98.416172,98.439862,98.526165,98.133515,97.540362,98.569841,98.012426,97.637722
3968.0,99.666029,98.090793,97.283392,97.909969,97.958415,97.888091,97.00074,97.574931,98.021821,97.942417,98.080154,98.078117,98.387672,97.842325,98.366932,99.222618,98.425846,98.438616,98.532025,98.136587,97.541998,98.564531,98.016108,97.647333
3967.0,99.678444,98.099314,97.292651,97.910093,97.956617,97.885702,97.013858,97.579981,98.038892,97.950734,98.087712,98.084554,98.394971,97.843678,98.370845,99.229845,98.439612,98.438474,98.541908,98.145896,97.544699,98.560927,98.024807,97.655457
3966.0,99.692029,98.109631,97.305393,97.915091,97.957592,97.883857,97.022803,97.588443,98.052373,97.948923,98.09743,98.089905,98.401816,97.84695,98.375097,99.241004,98.453855,98.438936,98.553419,98.157664,97.549335,98.561122,98.033999,97.659584
3965.0,99.704375,98.120398,97.316087,97.919961,97.961561,97.883006,97.023201,97.599111,98.05718,97.939281,98.107447,98.094023,98.404387,97.850666,98.380158,99.252757,98.465809,98.438525,98.56385,98.167928,97.555331,98.564685,98.041493,97.659737
3964.0,99.713932,98.129531,97.321157,97.920131,97.966079,97.882554,97.015547,97.608964,98.05284,97.928443,98.115718,98.097914,98.400653,97.853094,98.38575,99.262149,98.473883,98.43525,98.570118,98.175058,97.560623,98.568849,98.047087,97.656023
3963.0,99.716983,98.133612,97.319062,97.914839,97.96848,97.881915,97.005057,97.613343,98.042175,97.92175,98.12062,98.099895,98.390056,97.85422,98.390724,99.266151,98.476359,98.427749,98.569456,98.179037,97.563731,98.571202,98.04922,97.647518
3962.0,99.708563,98.129875,97.309684,97.90705,97.968879,97.881851,96.997831,97.609186,98.028504,97.919142,98.121506,98.096338,98.373599,97.856041,98.394226,99.26239,98.471576,98.416221,98.561722,98.179152,97.565788,98.571973,98.044156,97.634444
3961.0,99.68809,98.118999,97.294419,97.899866,97.970022,97.883999,96.996543,97.598294,98.01463,97.916977,98.118639,98.086451,98.354938,97.860424,98.396499,99.251311,98.460354,98.40253,98.550995,98.173884,97.569416,98.573229,98.030022,97.620604
3960.0,99.662808,98.105964,97.276935,97.893884,97.974095,97.889274,96.999636,97.587028,98.003654,97.91311,98.113068,98.074596,98.340207,97.86691,98.398622,99.237377,98.447395,98.389796,98.543497,98.16387,97.575405,98.576121,98.011156,97.612285
3959.0,99.643829,98.097496,97.262866,97.888474,97.980721,97.897361,97.003803,97.5818,97.99884,97.909263,98.106326,98.06712,98.334834,97.873232,98.401834,99.226999,98.438685,98.381793,98.543088,98.153835,97.58159,98.579856,97.996426,97.613841
3958.0,99.637831,98.097914,97.257438,97.885011,97.987694,97.907155,97.006986,97.584346,98.001705,97.908864,98.099916,98.06687,98.339422,97.877587,98.406656,99.224426,98.436774,98.381779,98.548336,98.149995,97.585075,98.583123,97.992293,97.624474
3957.0,99.64291,98.106664,97.262632,97.887334,97.993105,97.917213,97.009271,97.5913,98.010615,97.913638,98.094716,98.071293,98.349068,97.879657,98.412191,99.229027,98.439094,98.390242,98.554351,98.155072,97.585301,98.585813,97.997934,97.639183
3956.0,99.65216,98.119206,97.276574,97.898092,97.996811,97.926215,97.012198,97.598073,98.021918,97.922546,98.091201,98.075522,98.357381,97.880082,98.416626,99.235929,98.441294,98.40339,98.557496,98.166289,97.584691,98.589083,98.00717,97.652839
3955.0,99.661097,98.130611,97.295458,97.915301,97.999952,97.933401,97.017961,97.603386,98.032476,97.933259,98.090877,98.077312,98.36179,97.879397,98.418777,99.240048,98.441752,98.415147,98.558701,98.178414,97.586157,98.593869,98.015196,97.664069
