ν	LD-Alanina No Magnetizada Irradiada Petri	LD-Alanina Magnetizada Irradiada Petri	LD-Alanina  No Magnetizada Petri	LD-Alanina  Magnetizada Petri	L-Alanina No Magnetizada Irradiada Petri	L-Alanina Magnetizada Petri	L-Alanina Magnetizada Irradiada Petri	L-Alanina  No Magnetizada Petri	D-Alanina No Magnetizada Irradiada Petri	D-Alanina Magnetizada Irradiada Petri	D-Alanina  No Magnetizada Petri	D-Alanina  Magnetizada Petri
3921.0	99.678172	97.326176	97.042569	97.659474	98.04429	98.029304	98.115776	99.278377	98.438672	98.591067	98.044832	97.62309
3920.0	99.677507	97.3377	97.057246	97.652374	98.039476	98.042936	98.119569	99.289102	98.430617	98.593685	98.053455	97.628693
3919.0	99.684094	97.348409	97.068136	97.648909	98.033025	98.052675	98.121059	99.295943	98.425549	98.600662	98.058262	97.636895
3918.0	99.697831	97.356073	97.072335	97.648638	98.030319	98.054876	98.121552	99.296268	98.426812	98.609965	98.058366	97.643798
3917.0	99.711045	97.35909	97.070324	97.647649	98.033896	98.051856	98.120449	99.290454	98.434365	98.614313	98.053999	97.64635
3916.0	99.717664	97.358271	97.065459	97.643026	98.042158	98.048686	98.117656	99.281781	98.444672	98.608331	98.047415	97.645191
3915.0	99.718568	97.356642	97.060887	97.635443	98.051332	98.047783	98.115051	99.274012	98.453234	98.593888	98.041706	97.64411
3914.0	99.717602	97.357145	97.057602	97.628195	98.057758	98.048543	98.113922	99.268893	98.457339	98.57762	98.038416	97.64699
3913.0	99.715862	97.360104	97.0554	97.624728	98.05878	98.050263	98.113579	99.265716	98.457064	98.565706	98.036664	97.65524
3912.0	99.710665	97.362763	97.054416	97.626836	98.053748	98.054048	98.112693	99.262942	98.455001	98.560295	98.034675	97.66711
3911.0	99.699528	97.361545	97.054722	97.633595	98.044716	98.061789	98.111949	99.259846	98.454646	98.559891	98.031366	97.678548
3910.0	99.683593	97.355523	97.055599	97.641823	98.035808	98.074462	98.11325	99.257177	98.457994	98.56141	98.02699	97.685935
3909.0	99.66797	97.347971	97.055393	97.647504	98.030839	98.090464	98.117325	99.256608	98.463678	98.563143	98.022393	97.68779
3908.0	99.657384	97.344097	97.052165	97.646613	98.031104	98.104679	98.121929	99.258467	98.467781	98.565588	98.01725	97.683499
3907.0	99.652146	97.346855	97.046109	97.638441	98.035128	98.112174	98.122914	99.260992	98.466617	98.569693	98.011148	97.673163
3906.0	99.648195	97.354264	97.041035	97.627938	98.04016	98.113731	98.117794	99.261883	98.459988	98.574312	98.00574	97.658773
3905.0	99.642648	97.361396	97.043485	97.624822	98.044665	98.118542	98.109951	99.261934	98.452884	98.576618	98.006253	97.646019
3904.0	99.63873	97.365666	97.057264	97.636371	98.049843	98.1358	98.109491	99.266555	98.453187	98.576506	98.018422	97.641598
3903.0	99.64216	97.36936	97.078001	97.658406	98.058119	98.16167	98.125036	99.279876	98.465247	98.578296	98.040375	97.646512
3902.0	99.652769	97.375667	97.096579	97.67798	98.069747	98.181433	98.152955	99.297797	98.484556	98.585484	98.061131	97.655352
3901.0	99.662773	97.383738	97.106674	97.686545	98.081188	98.185298	98.177515	99.310227	98.499463	98.595145	98.070503	97.662511
3900.0	99.664981	97.389459	97.107296	97.686887	98.087657	98.176528	98.184418	99.309167	98.500256	98.600216	98.067422	97.666403
3899.0	99.66008	97.390491	97.101506	97.688015	98.087815	98.164792	98.173821	99.295765	98.487863	98.597081	98.059348	97.669307
3898.0	99.654211	97.388712	97.093077	97.694526	98.084859	98.155105	98.15789	99.278899	98.472533	98.588673	98.054051	97.673266
3897.0	99.651778	97.38755	97.084946	97.703533	98.082796	98.146457	98.147699	99.267384	98.463798	98.580556	98.054215	97.677795
3896.0	99.65319	97.388572	97.078968	97.710495	98.082774	98.137607	98.145827	99.264698	98.46331	98.576252	98.059606	97.680877
3895.0	99.657277	97.39068	97.075086	97.712248	98.082839	98.128117	98.149703	99.268016	98.466654	98.576688	98.068576	97.679472
3894.0	99.662371	97.391501	97.072254	97.706191	98.080606	98.117262	98.155419	99.270196	98.469602	98.580346	98.076678	97.670855
3893.0	99.665096	97.389254	97.071785	97.692156	98.075851	98.106851	98.158651	99.265984	98.471886	98.583868	98.078599	97.656368
3892.0	99.660915	97.384343	97.077616	97.676459	98.07092	98.104365	98.155213	99.258371	98.475632	98.584268	98.074296	97.643695
3891.0	99.650399	97.378443	97.090998	97.669452	98.068057	98.116293	98.146374	99.256915	98.480501	98.58372	98.071068	97.642214
3890.0	99.640357	97.371728	97.106355	97.672477	98.067212	98.136656	98.138902	99.265035	98.482891	98.587747	98.07333	97.653664
3889.0	99.636331	97.362585	97.115677	97.676976	98.067134	98.151872	98.137833	99.275417	98.479896	98.597955	98.078344	97.671811
3888.0	99.635225	97.350533	97.113606	97.676068	98.067126	98.152568	98.140692	99.277686	98.472713	98.607747	98.0811	97.687485
3887.0	99.629228	97.33985	97.102248	97.672721	98.067735	98.141045	98.139162	99.267222	98.466861	98.605685	98.078626	97.693851
3886.0	99.618326	97.339223	97.092567	97.676786	98.070339	98.130376	98.129487	99.251067	98.468513	98.587616	98.073507	97.690493
3885.0	99.612683	97.353213	97.095009	97.693115	98.075532	98.130643	98.120127	99.244766	98.477711	98.565267	98.073467	97.683623
3884.0	99.619879	97.376223	97.108651	97.713778	98.082871	98.138146	98.122019	99.256767	98.487422	98.554964	98.081932	97.680411
3883.0	99.636134	97.397824	97.123213	97.726734	98.092776	98.144398	98.135665	99.279491	98.49062	98.561649	98.093868	97.68403
3882.0	99.650314	97.410871	97.128177	97.727181	98.106177	98.146898	98.15106	99.296141	98.486047	98.576437	98.100992	97.692522
3881.0	99.654209	97.414507	97.119658	97.719574	98.121329	98.148888	98.157386	99.293992	98.47822	98.585715	98.09834	97.700401
3880.0	99.649025	97.411773	97.101001	97.713055	98.132451	98.152145	98.153053	99.27515	98.47319	98.583434	98.088725	97.70228
3879.0	99.641704	97.40501	97.079699	97.713567	98.133725	98.153212	98.144927	99.254151	98.473238	98.575122	98.080471	97.698236
3878.0	99.637308	97.394893	97.062335	97.717689	98.124278	98.14732	98.139183	99.242634	98.476212	98.570295	98.079443	97.692301
3877.0	99.636127	97.383008	97.052764	97.719181	98.108809	98.135166	98.136931	99.242704	98.478938	98.574462	98.087384	97.68809
3876.0	99.635331	97.373756	97.053264	97.717842	98.095131	98.124099	98.135227	99.250008	98.480515	98.585678	98.101336	97.687317
3875.0	99.633679	97.372697	97.064903	97.720387	98.089141	98.124417	98.131515	99.258987	98.482338	98.596973	98.114198	97.691111
3874.0	99.633953	97.381126	97.083877	97.732334	98.089434	98.138913	98.129349	99.267388	98.485561	98.604427	98.120053	97.699487
3873.0	99.638582	97.393229	97.100762	97.749236	98.089368	98.156425	98.136177	99.276233	98.489617	98.611246	98.118296	97.709801
3872.0	99.643584	97.400363	97.107225	97.758842	98.085428	98.162983	98.152084	99.284826	98.49295	98.620811	98.111573	97.718012
3871.0	99.641686	97.398728	97.104769	97.754874	98.081029	98.16107	98.164876	99.289257	98.493757	98.628753	98.10434	97.723746
3870.0	99.633272	97.392784	97.102319	97.744727	98.081399	98.167874	98.163512	99.287078	98.490397	98.627302	98.102033	97.730692
3869.0	99.626901	97.389382	97.102848	97.736565	98.086802	98.187175	98.153473	99.279783	98.482829	98.616204	98.10522	97.738577
3868.0	99.626909	97.390684	97.102209	97.728551	98.093963	98.202516	98.147777	99.27062	98.47404	98.602188	98.108745	97.742715
3867.0	99.628135	97.394824	97.098176	97.717833	98.10109	98.201492	98.149964	99.263278	98.468033	98.591119	98.110332	97.741115
3866.0	99.624629	97.399417	97.092403	97.707225	98.1074	98.187837	98.152804	99.259285	98.465896	98.584638	98.110581	97.735591
3865.0	99.618944	97.401783	97.088322	97.700344	98.111245	98.173507	98.149755	99.255729	98.464871	98.581531	98.10753	97.729356
3864.0	99.617532	97.39834	97.087756	97.696945	98.111542	98.166679	98.142408	99.249848	98.461814	98.578817	98.099472	97.724956
3863.0	99.620738	97.387621	97.089621	97.69566	98.110205	98.166868	98.137165	99.244347	98.457395	98.57429	98.090459	97.723634
3862.0	99.624441	97.373826	97.093611	97.699346	98.111365	98.170493	98.137769	99.246563	98.455694	98.570163	98.089423	97.726855
3861.0	99.627526	97.363732	97.10004	97.710705	98.116426	98.173899	98.144113	99.260703	98.459261	98.572928	98.10046	97.734033
3860.0	99.631263	97.359832	97.107317	97.726481	98.121645	98.174653	98.151746	99.281268	98.466717	98.585007	98.115497	97.741125
3859.0	99.636481	97.357948	97.113305	97.741576	98.121701	98.175599	98.154443	99.29667	98.474855	98.600144	98.12047	97.744784
3858.0	99.641786	97.352214	97.117689	97.754939	98.114957	98.183685	98.148799	99.299746	98.481923	98.608273	98.109015	97.74613
3857.0	99.644577	97.341716	97.120019	97.767552	98.104564	98.199593	98.138446	99.293704	98.487336	98.605185	98.088947	97.748389
3856.0	99.643045	97.33165	97.117392	97.774711	98.094839	98.209711	98.131998	99.286948	98.489321	98.595929	98.074679	97.751551
3855.0	99.64045	97.330127	97.109629	97.768213	98.088255	98.199369	98.13313	99.280677	98.487205	98.588058	98.073358	97.751652
3854.0	99.642177	97.34243	97.110384	97.756036	98.085596	98.186402	98.133678	99.27161	98.486069	98.582317	98.086887	97.752115
3853.0	99.644878	97.362288	97.121717	97.754407	98.084159	98.195136	98.129411	99.264368	98.489538	98.576877	98.115467	97.756618
3852.0	99.640925	97.376684	97.122632	97.756507	98.080882	98.208461	98.126958	99.260699	98.492631	98.571501	98.141356	97.7584
3851.0	99.630475	97.381129	97.105468	97.74691	98.079491	98.204297	98.130251	99.254566	98.49141	98.566124	98.143799	97.754452
3850.0	99.619454	97.381656	97.08543	97.73107	98.086057	98.191024	98.137581	99.249062	98.488345	98.562617	98.12847	97.752491
3849.0	99.613704	97.386912	97.07794	97.722289	98.100874	98.183975	98.147182	99.252194	98.487694	98.565123	98.1128	97.757357
3848.0	99.615666	97.401018	97.088124	97.725461	98.118	98.188219	98.158967	99.266941	98.490382	98.576247	98.108114	97.766801
3847.0	99.622128	97.421073	97.109793	97.735232	98.129928	98.198287	98.172384	99.287663	98.493737	98.593151	98.114028	97.77437
3846.0	99.626069	97.439963	97.131819	97.744729	98.132575	98.20652	98.184452	99.304728	98.49499	98.60838	98.122988	97.77594
3845.0	99.621576	97.451035	97.146344	97.752203	98.126409	98.208778	98.19107	99.312294	98.493853	98.615509	98.128127	97.773245
3844.0	99.607881	97.451453	97.151116	97.759188	98.114569	98.205471	98.189413	99.311348	98.491901	98.613642	98.126907	97.770694
3843.0	99.590674	97.44238	97.147135	97.765727	98.10052	98.199889	98.181255	99.305847	98.489801	98.60796	98.119543	97.770519
3842.0	99.577521	97.427191	97.137097	97.770654	98.08751	98.196181	98.171301	99.29933	98.486426	98.604433	98.108237	97.772375
3841.0	99.571602	97.410458	97.123887	97.772643	98.078331	98.19554	98.161719	99.292659	98.48086	98.604502	98.095214	97.773513
3840.0	99.570103	97.39807	97.111196	97.770975	98.075309	98.195127	98.149517	99.283798	98.474796	98.604704	98.082246	97.770622
3839.0	99.569375	97.395126	97.104956	97.766738	98.079686	98.191503	98.133417	99.271982	98.471807	98.602312	98.073213	97.764167
3838.0	99.568166	97.401468	97.10989	97.76193	98.089997	98.184575	98.119823	99.260831	98.474006	98.599073	98.072853	97.75927
3837.0	99.567894	97.410917	97.124913	97.758099	98.101882	98.178138	98.11819	99.254961	98.479798	98.599022	98.081074	97.760592
3836.0	99.57138	97.416977	97.143578	97.755586	98.111131	98.175658	98.130892	99.254357	98.486007	98.603819	98.091362	97.766304
3835.0	99.580717	97.417851	97.158792	97.754995	98.117163	98.177583	98.151058	99.254831	98.491294	98.61118	98.097516	97.769826
3834.0	99.594234	97.415367	97.166087	97.757093	98.122527	98.181969	98.16812	99.254033	98.495641	98.615891	98.099851	97.766686
3833.0	99.606554	97.411393	97.163807	97.760012	98.129111	98.18612	98.174967	99.253623	98.497846	98.613142	98.102728	97.757667
3832.0	99.613048	97.406675	97.154189	97.760709	98.135661	98.188919	98.172663	99.256906	98.495401	98.603439	98.109358	97.747762
3831.0	99.613382	97.401938	97.143182	97.758617	98.138971	98.190455	98.16879	99.264982	98.487192	98.593578	98.118976	97.742209
3830.0	99.610908	97.398558	97.136234	97.755036	98.136944	98.190035	98.169695	99.274174	98.475416	98.590328	98.12707	97.742579
3829.0	99.608878	97.397502	97.135501	97.75215	98.130814	98.187885	98.175508	99.27923	98.464989	98.594106	98.130319	97.74787
3828.0	99.606231	97.398286	97.13998	97.752662	98.124747	98.187201	98.180475	99.27884	98.461262	98.598423	98.130144	97.756613
3827.0	99.598042	97.3991	97.146706	97.758168	98.121987	98.191304	98.178298	99.276132	98.466405	98.596438	98.129746	97.766133
3826.0	99.580259	97.397348	97.15276	97.767591	98.120875	98.197859	98.167766	99.274828	98.476607	98.587861	98.129838	97.772833
3825.0	99.55329	97.390582	97.155525	97.776268	98.115447	98.197197	98.153268	99.275457	98.484249	98.57864	98.127701	97.774178
