ν,L-Alanina No Magnetizada Irradiada Petri,L-Alanina No Magnetizada  Eppendorf,L-Alanina Magnetizada Petri,L-Alanina Magnetizada Irradiada Petri,L-Alanina Magnetizada Eppendorf,L-Alanina Irradiada No Magnetizada Eppendorf,L-Alanina Irradiada  Magnetizada Eppendorf,L-Alanina  No Magnetizada Petri
3961.0,98.01463,97.916977,98.118639,98.086451,98.354938,97.860424,98.396499,99.251311
3960.0,98.003654,97.91311,98.113068,98.074596,98.340207,97.86691,98.398622,99.237377
3959.0,97.99884,97.909263,98.106326,98.06712,98.334834,97.873232,98.401834,99.226999
3958.0,98.001705,97.908864,98.099916,98.06687,98.339422,97.877587,98.406656,99.224426
3957.0,98.010615,97.913638,98.094716,98.071293,98.349068,97.879657,98.412191,99.229027
3956.0,98.021918,97.922546,98.091201,98.075522,98.357381,97.880082,98.416626,99.235929
3955.0,98.032476,97.933259,98.090877,98.077312,98.36179,97.879397,98.418777,99.240048
3954.0,98.040854,97.943933,98.096214,98.079057,98.364773,97.877769,98.418934,99.240123
3953.0,98.046723,97.953652,98.108752,98.085031,98.36979,97.875138,98.418088,99.239312
3952.0,98.050118,97.961889,98.127127,98.097358,98.376893,97.871439,98.416933,99.242123
3951.0,98.05159,97.968013,98.14717,98.114385,98.383025,97.867188,98.415878,99.250312
3950.0,98.052402,97.971299,98.16421,98.132191,98.386416,97.8635,98.415235,99.261711
3949.0,98.053876,97.971389,98.1747,98.147091,98.389019,97.861599,98.41494,99.272214
3948.0,98.056591,97.968885,98.176798,98.157355,98.39354,97.862305,98.414579,99.278964
3947.0,98.060494,97.965583,98.170178,98.163539,98.399296,97.86613,98.414156,99.281925
3946.0,98.065672,97.96373,98.155875,98.167214,98.402365,97.873338,98.414458,99.282696
3945.0,98.072724,97.964789,98.136821,98.169018,98.39948,97.883159,98.416386,99.282344
3944.0,98.082012,97.968547,98.118506,98.168274,98.391334,97.893195,98.420022,99.280764
3943.0,98.092004,97.972943,98.107621,98.164877,98.382164,97.900077,98.424344,99.278306
3942.0,98.098504,97.975113,98.106955,98.1604,98.376407,97.901744,98.427995,99.276123
3941.0,98.096814,97.973582,98.111832,98.155952,98.375843,97.89918,98.430333,99.273908
3940.0,98.085685,97.969372,98.113912,98.150195,98.379613,97.895089,98.431625,99.269236
3939.0,98.069167,97.964471,98.108307,98.141614,98.385543,97.89124,98.432573,99.26075
3938.0,98.054534,97.959826,98.09686,98.132181,98.39145,97.888054,98.43359,99.251178
3937.0,98.04735,97.955231,98.085317,98.127005,98.395995,97.885809,98.434167,99.246022
3936.0,98.047824,97.950528,98.077772,98.128974,98.398224,97.88555,98.433382,99.248266
