ν	LD-Alanina No Magnetizada  Eppendorf	LD-Alanina Magnetizada  Eppendorf	LD-Alanina  No Magnetizada Petri	LD-Alanina  Magnetizada Petri	L-Alanina No Magnetizada  Eppendorf	L-Alanina Magnetizada Petri	L-Alanina Magnetizada Eppendorf	L-Alanina  No Magnetizada Petri	D-Alanina No Magnetizada Eppendorf	D-Alanina Magnetizada Eppendorf	D-Alanina  No Magnetizada Petri	D-Alanina  Magnetizada Petri
3930.0	98.173753	97.931765	97.030653	97.633378	97.935819	98.058514	98.340552	99.23031	98.412504	98.200408	98.022736	97.638565
3929.0	98.176607	97.935477	97.02239	97.645665	97.940473	98.058242	98.342074	99.235302	98.416678	98.201456	98.029481	97.647489
3928.0	98.173587	97.940027	97.012597	97.651588	97.944077	98.054232	98.348121	99.246344	98.419321	98.201129	98.036213	97.651777
3927.0	98.165507	97.941154	97.001845	97.649968	97.942547	98.043024	98.354236	99.257044	98.417551	98.198622	98.035256	97.647956
3926.0	98.155228	97.938464	96.993986	97.646383	97.935806	98.027375	98.357517	99.262138	98.411803	98.19606	98.026182	97.63845
3925.0	98.145865	97.936423	96.993435	97.648141	97.928667	98.014445	98.358384	99.261279	98.405276	98.197482	98.01649	97.629159
3924.0	98.139866	97.940104	97.000851	97.656355	97.926397	98.008934	98.359769	99.259134	98.402218	98.205336	98.014508	97.623821
3923.0	98.138161	97.949733	97.013073	97.664328	97.929655	98.010414	98.363994	99.260698	98.404606	98.217703	98.021659	97.62167
3922.0	98.139566	97.961199	97.027348	97.665353	97.934482	98.017484	98.370037	99.267701	98.409457	98.229106	98.033414	97.621213
3921.0	98.141693	97.970378	97.042569	97.659474	97.936518	98.029304	98.373902	99.278377	98.411647	98.234541	98.044832	97.62309
3920.0	98.143331	97.975679	97.057246	97.652374	97.934297	98.042936	98.372314	99.289102	98.410012	98.233356	98.053455	97.628693
3919.0	98.145155	97.977071	97.068136	97.648909	97.929043	98.052675	98.366312	99.295943	98.408307	98.229686	98.058262	97.636895
3918.0	98.147587	97.974479	97.072335	97.648638	97.922555	98.054876	98.360289	99.296268	98.409792	98.228509	98.058366	97.643798
3917.0	98.149527	97.968407	97.070324	97.647649	97.916476	98.051856	98.357481	99.290454	98.413472	98.230833	98.053999	97.64635
3916.0	98.150528	97.961173	97.065459	97.643026	97.913103	98.048686	98.357725	99.281781	98.416681	98.233351	98.047415	97.645191
3915.0	98.152443	97.956086	97.060887	97.635443	97.914799	98.047783	98.359719	99.274012	98.418729	98.232298	98.041706	97.64411
3914.0	98.157054	97.954712	97.057602	97.628195	97.921799	98.048543	98.363393	99.268893	98.420176	98.226628	98.038416	97.64699
3913.0	98.162529	97.955369	97.0554	97.624728	97.931442	98.050263	98.369039	99.265716	98.420856	98.217729	98.036664	97.65524
3912.0	98.165295	97.954852	97.054416	97.626836	97.940247	98.054048	98.375593	99.262942	98.420885	98.208156	98.034675	97.66711
3911.0	98.164638	97.951703	97.054722	97.633595	97.946489	98.061789	98.380925	99.259846	98.421463	98.200581	98.031366	97.678548
3910.0	98.164296	97.948105	97.055599	97.641823	97.951067	98.074462	98.383628	99.257177	98.424046	98.196944	98.02699	97.685935
