ν	D-Alanina No Magnetizada Irradiada Petri	D-Alanina No Magnetizada Eppendorf	D-Alanina Magnetizada Irradiada Petri	D-Alanina Magnetizada Eppendorf	D-Alanina Irradiada No Magnetizada Eppendorf	D-Alanina Irradiada Magnetizada Eppendorf	D-Alanina  No Magnetizada Petri	D-Alanina  Magnetizada Petri
3881.0	98.47822	98.482643	98.585715	98.207942	97.612979	98.600035	98.09834	97.700401
3880.0	98.47319	98.46976	98.583434	98.209394	97.613532	98.598574	98.088725	97.70228
3879.0	98.473238	98.454591	98.575122	98.20997	97.620109	98.600148	98.080471	97.698236
3878.0	98.476212	98.450852	98.570295	98.209042	97.628438	98.606698	98.079443	97.692301
3877.0	98.478938	98.458959	98.574462	98.204842	97.63451	98.616823	98.087384	97.68809
3876.0	98.480515	98.469466	98.585678	98.198607	97.638817	98.626947	98.101336	97.687317
3875.0	98.482338	98.4751	98.596973	98.195067	97.643772	98.632582	98.114198	97.691111
3874.0	98.485561	98.477059	98.604427	98.19918	97.650231	98.631652	98.120053	97.699487
3873.0	98.489617	98.483792	98.611246	98.212585	97.65667	98.626639	98.118296	97.709801
3872.0	98.49295	98.499421	98.620811	98.231248	97.659972	98.62125	98.111573	97.718012
3871.0	98.493757	98.514084	98.628753	98.245748	97.656672	98.615545	98.10434	97.723746
3870.0	98.490397	98.513313	98.627302	98.247343	97.647631	98.607943	98.102033	97.730692
3869.0	98.482829	98.497371	98.616204	98.236411	97.640937	98.601988	98.10522	97.738577
3868.0	98.47404	98.482006	98.602188	98.222252	97.641814	98.603013	98.108745	97.742715
3867.0	98.468033	98.47542	98.591119	98.214015	97.646274	98.610003	98.110332	97.741115
3866.0	98.465896	98.470351	98.584638	98.213206	97.64844	98.616352	98.110581	97.735591
3865.0	98.464871	98.46	98.581531	98.212896	97.647994	98.61719	98.10753	97.729356
3864.0	98.461814	98.447342	98.578817	98.206592	97.648884	98.613425	98.099472	97.724956
3863.0	98.457395	98.440223	98.57429	98.196908	97.652267	98.608666	98.090459	97.723634
3862.0	98.455694	98.443719	98.570163	98.192639	97.653729	98.604052	98.089423	97.726855
3861.0	98.459261	98.456273	98.572928	98.199047	97.650764	98.599404	98.10046	97.734033
3860.0	98.466717	98.472145	98.585007	98.213636	97.646013	98.594825	98.115497	97.741125
3859.0	98.474855	98.484093	98.600144	98.228532	97.641811	98.589203	98.12047	97.744784
3858.0	98.481923	98.486826	98.608273	98.237598	97.636219	98.580485	98.109015	97.74613
3857.0	98.487336	98.481325	98.605185	98.24121	97.627133	98.569824	98.088947	97.748389
3856.0	98.489321	98.474691	98.595929	98.243049	97.618204	98.563599	98.074679	97.751551
3855.0	98.487205	98.473516	98.588058	98.240501	97.615986	98.565937	98.073358	97.751652
3854.0	98.486069	98.473174	98.582317	98.223161	97.614749	98.568094	98.086887	97.752115
3853.0	98.489538	98.462757	98.576877	98.193312	97.608672	98.563278	98.115467	97.756618
3852.0	98.492631	98.450012	98.571501	98.169216	97.605155	98.559778	98.141356	97.7584
3851.0	98.49141	98.449849	98.566124	98.160437	97.608648	98.564317	98.143799	97.754452
3850.0	98.488345	98.455996	98.562617	98.166312	97.614789	98.572979	98.12847	97.752491
3849.0	98.487694	98.458775	98.565123	98.18398	97.621041	98.580979	98.1128	97.757357
3848.0	98.490382	98.461212	98.576247	98.207866	97.627328	98.587348	98.108114	97.766801
3847.0	98.493737	98.468178	98.593151	98.23	97.633721	98.59338	98.114028	97.77437
3846.0	98.49499	98.478128	98.60838	98.243463	97.638695	98.599583	98.122988	97.77594
3845.0	98.493853	98.485387	98.615509	98.246168	97.640556	98.605207	98.128127	97.773245
3844.0	98.491901	98.486186	98.613642	98.241873	97.639999	98.609027	98.126907	97.770694
3843.0	98.489801	98.481165	98.60796	98.235695	97.639681	98.610265	98.119543	97.770519
3842.0	98.486426	98.474931	98.604433	98.229926	97.640605	98.608639	98.108237	97.772375
3841.0	98.48086	98.472419	98.604502	98.224004	97.64213	98.604822	98.095214	97.773513
3840.0	98.474796	98.475786	98.604704	98.216877	97.644223	98.600594	98.082246	97.770622
3839.0	98.471807	98.484359	98.602312	98.209396	97.648416	98.598243	98.073213	97.764167
3838.0	98.474006	98.495607	98.599073	98.205149	97.655704	98.598863	98.072853	97.75927
3837.0	98.479798	98.506003	98.599022	98.206555	97.663545	98.601054	98.081074	97.760592
3836.0	98.486007	98.512335	98.603819	98.211598	97.668022	98.602693	98.091362	97.766304
3835.0	98.491294	98.512533	98.61118	98.216722	97.667665	98.603263	98.097516	97.769826
3834.0	98.495641	98.505813	98.615891	98.221463	97.663382	98.603934	98.099851	97.766686
3833.0	98.497846	98.492958	98.613142	98.227892	97.656995	98.6058	98.102728	97.757667
3832.0	98.495401	98.476417	98.603439	98.235864	97.6504	98.608208	98.109358	97.747762
3831.0	98.487192	98.46095	98.593578	98.241116	97.64536	98.609292	98.118976	97.742209
3830.0	98.475416	98.452335	98.590328	98.238809	97.642641	98.607666	98.12707	97.742579
3829.0	98.464989	98.453177	98.594106	98.228235	97.640973	98.60317	98.130319	97.74787
3828.0	98.461262	98.460874	98.598423	98.214326	97.638628	98.596776	98.130144	97.756613
3827.0	98.466405	98.469673	98.596438	98.203024	97.636553	98.590713	98.129746	97.766133
3826.0	98.476607	98.475498	98.587861	98.195194	97.637473	98.587849	98.129838	97.772833
3825.0	98.484249	98.478891	98.57864	98.1873	97.64222	98.590315	98.127701	97.774178
3824.0	98.484106	98.481617	98.574406	98.178119	97.648502	98.597917	98.12037	97.770058
3823.0	98.477774	98.482571	98.575652	98.171465	97.653145	98.606894	98.107436	97.762949
3822.0	98.472966	98.479017	98.577305	98.171911	97.652938	98.609673	98.094246	97.758643
3821.0	98.474732	98.469026	98.576331	98.179591	97.649167	98.60226	98.091215	97.760973
3820.0	98.478916	98.457684	98.57585	98.190059	97.648957	98.591055	98.098865	97.765009
3819.0	98.479971	98.454668	98.578409	98.197426	97.654252	98.584604	98.104868	97.764624
3818.0	98.478533	98.458644	98.583106	98.199418	97.659235	98.58516	98.104306	97.761246
3817.0	98.480071	98.46231	98.587709	98.198999	97.658802	98.589517	98.104134	97.760428
3816.0	98.488799	98.464645	98.593126	98.199393	97.655611	98.594451	98.111006	97.763921
3815.0	98.501808	98.469092	98.602228	98.200967	97.657646	98.601125	98.122228	97.767182
3814.0	98.511561	98.478632	98.61293	98.202494	97.66695	98.610511	98.1296	97.766785
3813.0	98.513416	98.489565	98.61852	98.202813	97.677475	98.618215	98.130672	97.765368
3812.0	98.507676	98.495792	98.614548	98.201348	97.683306	98.618734	98.13026	97.767172
3811.0	98.497708	98.499315	98.602571	98.198655	97.683715	98.611899	98.131915	97.772253
3810.0	98.488242	98.505288	98.588339	98.196729	97.680772	98.602735	98.134196	97.777028
3809.0	98.484007	98.5109	98.576994	98.19754	97.675421	98.595925	98.133717	97.778791
3808.0	98.487535	98.506353	98.57046	98.200283	97.666424	98.590465	98.130283	97.779909
3807.0	98.497029	98.487721	98.570514	98.201523	97.655022	98.582719	98.128167	97.785354
3806.0	98.507133	98.466545	98.58011	98.199591	97.646006	98.573354	98.130496	97.796721
3805.0	98.513914	98.459012	98.599833	98.196304	97.641932	98.566764	98.134693	97.810868
