ν,LD-Alanina No Magnetizada  Eppendorf,LD-Alanina Magnetizada  Eppendorf,LD-Alanina Irradiada No Magnetizada Eppendorf,LD-Alanina Irradiada Magnetizada Eppendorf,L-Alanina No Magnetizada  Eppendorf,L-Alanina Magnetizada Eppendorf,L-Alanina Irradiada No Magnetizada Eppendorf,L-Alanina Irradiada  Magnetizada Eppendorf,D-Alanina No Magnetizada Eppendorf,D-Alanina Magnetizada Eppendorf,D-Alanina Irradiada No Magnetizada Eppendorf,D-Alanina Irradiada Magnetizada Eppendorf
3939.0,98.202533,97.960454,98.020398,97.937861,97.964471,98.385543,97.89124,98.432573,98.412794,98.19591,97.599843,98.604987
3938.0,98.201819,97.957192,98.021109,97.934963,97.959826,98.39145,97.888054,98.43359,98.412504,98.188861,97.599667,98.600033
3937.0,98.192575,97.958737,98.017916,97.932599,97.955231,98.395995,97.885809,98.434167,98.417761,98.182863,97.599572,98.591966
3936.0,98.178778,97.962936,98.013467,97.929161,97.950528,98.398224,97.88555,98.433382,98.427812,98.180826,97.59948,98.585033
3935.0,98.16547,97.964818,98.011488,97.923915,97.946156,98.396554,97.887926,98.43123,98.436721,98.183519,97.598778,98.583002
3934.0,98.156839,97.960865,98.012504,97.917978,97.942395,98.389087,97.891931,98.428987,98.437597,98.189185,97.596934,98.58568
3933.0,98.155024,97.951587,98.01291,97.913372,97.938874,98.375699,97.89535,98.427709,98.429421,98.194748,97.59437,98.588932
3932.0,98.159381,97.940831,98.008724,97.911072,97.93558,98.359744,97.896609,98.426935,98.418346,98.198055,97.592715,98.588627
3931.0,98.166891,97.933253,97.999535,97.910013,97.933971,98.346634,97.896023,98.425615,98.411895,98.199405,97.593181,98.584537
3930.0,98.173753,97.931765,97.988619,97.908622,97.935819,98.340552,97.894813,98.423806,98.412504,98.200408,97.595421,98.580133
3929.0,98.176607,97.935477,97.980838,97.907212,97.940473,98.342074,97.893819,98.422557,98.416678,98.201456,97.59881,98.579376
3928.0,98.173587,97.940027,97.979482,97.907723,97.944077,98.348121,97.893194,98.422475,98.419321,98.201129,97.603078,98.583479
3927.0,98.165507,97.941154,97.983718,97.911133,97.942547,98.354236,97.892819,98.42307,98.417551,98.198622,97.607333,98.590084
3926.0,98.155228,97.938464,97.989008,97.915729,97.935806,98.357517,97.893137,98.423255,98.411803,98.19606,97.609714,98.595313
3925.0,98.145865,97.936423,97.990238,97.917576,97.928667,98.358384,97.894312,98.421694,98.405276,98.197482,97.608556,98.596947
3924.0,98.139866,97.940104,97.98585,97.913794,97.926397,98.359769,97.894943,98.417287,98.402218,98.205336,97.604092,98.595964
3923.0,98.138161,97.949733,97.978622,97.905674,97.929655,98.363994,97.893105,98.41042,98.404606,98.217703,97.597768,98.594698
3922.0,98.139566,97.961199,97.972253,97.897707,97.934482,98.370037,97.887818,98.403232,98.409457,98.229106,97.589936,98.594119
3921.0,98.141693,97.970378,97.969619,97.894181,97.936518,98.373902,97.879851,98.398065,98.411647,98.234541,97.580535,98.594081
3920.0,98.143331,97.975679,97.972741,97.896299,97.934297,98.372314,97.871405,98.395384,98.410012,98.233356,97.570943,98.594676
3919.0,98.145155,97.977071,97.981933,97.901982,97.929043,98.366312,97.86487,98.393267,98.408307,98.229686,97.563936,98.595787
3918.0,98.147587,97.974479,97.993985,97.908069,97.922555,98.360289,97.861251,98.389342,98.409792,98.228509,97.561038,98.595332
3917.0,98.149527,97.968407,98.003481,97.9128,97.916476,98.357481,97.859814,98.383416,98.413472,98.230833,97.56114,98.590208
3916.0,98.150528,97.961173,98.007853,97.916765,97.913103,98.357725,97.859851,98.378129,98.416681,98.233351,97.562635,98.580073
3915.0,98.152443,97.956086,98.009546,97.921556,97.914799,98.359719,97.861817,98.376901,98.418729,98.232298,97.565423,98.568766
3914.0,98.157054,97.954712,98.012059,97.927789,97.921799,98.363393,97.865978,98.381203,98.420176,98.226628,97.569955,98.560907
3913.0,98.162529,97.955369,98.015973,97.934232,97.931442,98.369039,97.870884,98.389308,98.420856,98.217729,97.575734,98.55835
3912.0,98.165295,97.954852,98.01937,97.938911,97.940247,98.375593,97.874283,98.39726,98.420885,98.208156,97.581643,98.5596
3911.0,98.164638,97.951703,98.021441,97.941528,97.946489,98.380925,97.875638,98.401806,98.421463,98.200581,97.587637,98.562138
3910.0,98.164296,97.948105,98.023271,97.944093,97.951067,98.383628,97.876787,98.402749,98.424046,98.196944,97.594107,98.564476
3909.0,98.168566,97.947951,98.02603,97.949355,97.955883,98.384064,97.87964,98.40294,98.428898,98.19758,97.600645,98.567075
3908.0,98.177585,97.952211,98.030647,97.959011,97.96138,98.383219,97.885078,98.406131,98.434926,98.20124,97.606526,98.572108
3907.0,98.187477,97.957564,98.037335,97.972124,97.965543,98.381333,97.892716,98.414457,98.440423,98.205836,97.611039,98.581132
3906.0,98.194425,97.959379,98.044657,97.984695,97.965231,98.378411,97.901296,98.426461,98.443449,98.209695,97.613166,98.592232
3905.0,98.197979,97.957559,98.047916,97.99049,97.959097,98.375683,97.907978,98.43672,98.443022,98.213028,97.610409,98.599165
3904.0,98.201135,97.958098,98.04256,97.985,97.949427,98.375843,97.908574,98.439102,98.440907,98.218424,97.601407,98.596504
3903.0,98.206391,97.965859,98.031244,97.970521,97.94038,98.38057,97.902105,98.432819,98.442048,98.228031,97.589981,98.586508
3902.0,98.211354,97.978339,98.022773,97.954918,97.934067,98.388249,97.893911,98.423969,98.449593,98.238452,97.582518,98.577576
3901.0,98.210148,97.989154,98.022851,97.945224,97.929272,98.394626,97.890919,98.41997,98.459139,98.240982,97.581779,98.575703
3900.0,98.199315,97.994038,98.029577,97.943876,97.924047,98.396156,97.895468,98.423735,98.461997,98.229073,97.586165,98.579939
3899.0,98.183068,97.993047,98.0373,97.949117,97.918885,98.393212,97.904107,98.432907,98.455086,98.206033,97.593645,98.585658
3898.0,98.17107,97.987905,98.043068,97.958119,97.916348,98.389548,97.912282,98.443427,98.444316,98.184109,97.604586,98.590078
