ν	LD-Alanina Magnetizada Irradiada Petri	LD-Alanina Magnetizada  Eppendorf	LD-Alanina Irradiada Magnetizada Eppendorf	LD-Alanina  Magnetizada Petri	L-Alanina Magnetizada Petri	L-Alanina Magnetizada Irradiada Petri	L-Alanina Magnetizada Eppendorf	L-Alanina Irradiada  Magnetizada Eppendorf	D-Alanina Magnetizada Irradiada Petri	D-Alanina Magnetizada Eppendorf	D-Alanina Irradiada Magnetizada Eppendorf	D-Alanina  Magnetizada Petri
3908.0	97.344097	97.952211	97.959011	97.646613	98.104679	98.121929	98.383219	98.406131	98.565588	98.20124	98.572108	97.683499
3907.0	97.346855	97.957564	97.972124	97.638441	98.112174	98.122914	98.381333	98.414457	98.569693	98.205836	98.581132	97.673163
3906.0	97.354264	97.959379	97.984695	97.627938	98.113731	98.117794	98.378411	98.426461	98.574312	98.209695	98.592232	97.658773
3905.0	97.361396	97.957559	97.99049	97.624822	98.118542	98.109951	98.375683	98.43672	98.576618	98.213028	98.599165	97.646019
3904.0	97.365666	97.958098	97.985	97.636371	98.1358	98.109491	98.375843	98.439102	98.576506	98.218424	98.596504	97.641598
3903.0	97.36936	97.965859	97.970521	97.658406	98.16167	98.125036	98.38057	98.432819	98.578296	98.228031	98.586508	97.646512
3902.0	97.375667	97.978339	97.954918	97.67798	98.181433	98.152955	98.388249	98.423969	98.585484	98.238452	98.577576	97.655352
3901.0	97.383738	97.989154	97.945224	97.686545	98.185298	98.177515	98.394626	98.41997	98.595145	98.240982	98.575703	97.662511
3900.0	97.389459	97.994038	97.943876	97.686887	98.176528	98.184418	98.396156	98.423735	98.600216	98.229073	98.579939	97.666403
3899.0	97.390491	97.993047	97.949117	97.688015	98.164792	98.173821	98.393212	98.432907	98.597081	98.206033	98.585658	97.669307
3898.0	97.388712	97.987905	97.958119	97.694526	98.155105	98.15789	98.389548	98.443427	98.588673	98.184109	98.590078	97.673266
3897.0	97.38755	97.980136	97.968618	97.703533	98.146457	98.147699	98.388472	98.452552	98.580556	98.174608	98.593432	97.677795
3896.0	97.388572	97.971986	97.978676	97.710495	98.137607	98.145827	98.390338	98.458933	98.576252	98.180188	98.596797	97.680877
3895.0	97.39068	97.965474	97.986963	97.712248	98.128117	98.149703	98.393757	98.461834	98.576688	98.195201	98.60154	97.679472
3894.0	97.391501	97.96019	97.992901	97.706191	98.117262	98.155419	98.398448	98.460901	98.580346	98.210245	98.608458	97.670855
3893.0	97.389254	97.954865	97.995607	97.692156	98.106851	98.158651	98.405811	98.456363	98.583868	98.217332	98.615296	97.656368
3892.0	97.384343	97.951549	97.993591	97.676459	98.104365	98.155213	98.41504	98.449504	98.584268	98.214915	98.615959	97.643695
3891.0	97.378443	97.954989	97.986537	97.669452	98.116293	98.146374	98.420642	98.442961	98.58372	98.208919	98.606458	97.642214
3890.0	97.371728	97.964401	97.977222	97.672477	98.136656	98.138902	98.417635	98.439464	98.587747	98.206304	98.591188	97.653664
3889.0	97.362585	97.973096	97.969398	97.676976	98.151872	98.137833	98.407779	98.439363	98.597955	98.208742	98.578819	97.671811
3888.0	97.350533	97.97513	97.966034	97.676068	98.152568	98.140692	98.398464	98.440871	98.607747	98.213065	98.574664	97.687485
3887.0	97.33985	97.970097	97.968938	97.672721	98.141045	98.139162	98.395653	98.442929	98.605685	98.214182	98.577332	97.693851
3886.0	97.339223	97.965089	97.977376	97.676786	98.130376	98.129487	98.397902	98.445765	98.587616	98.209112	98.581735	97.690493
3885.0	97.353213	97.96919	97.986888	97.693115	98.130643	98.120127	98.398135	98.448613	98.565267	98.201151	98.585616	97.683623
3884.0	97.376223	97.982384	97.992036	97.713778	98.138146	98.122019	98.393979	98.449439	98.554964	98.196953	98.590472	97.680411
3883.0	97.397824	97.995598	97.990213	97.726734	98.144398	98.135665	98.392477	98.447484	98.561649	98.199058	98.596303	97.68403
3882.0	97.410871	97.999951	97.982951	97.727181	98.146898	98.15106	98.402045	98.444828	98.576437	98.20419	98.60014	97.692522
3881.0	97.414507	97.994113	97.974801	97.719574	98.148888	98.157386	98.421941	98.444971	98.585715	98.207942	98.600035	97.700401
3880.0	97.411773	97.985192	97.970361	97.713055	98.152145	98.153053	98.440628	98.449633	98.583434	98.209394	98.598574	97.70228
3879.0	97.40501	97.980838	97.969851	97.713567	98.153212	98.144927	98.446111	98.457154	98.575122	98.20997	98.600148	97.698236
3878.0	97.394893	97.981367	97.970043	97.717689	98.14732	98.139183	98.436845	98.463844	98.570295	98.209042	98.606698	97.692301
3877.0	97.383008	97.983669	97.969061	97.719181	98.135166	98.136931	98.42067	98.466542	98.574462	98.204842	98.616823	97.68809
3876.0	97.373756	97.987027	97.969266	97.717842	98.124099	98.135227	98.406708	98.465635	98.585678	98.198607	98.626947	97.687317
3875.0	97.372697	97.994298	97.974426	97.720387	98.124417	98.131515	98.399493	98.465138	98.596973	98.195067	98.632582	97.691111
3874.0	97.381126	98.008039	97.9842	97.732334	98.138913	98.129349	98.398345	98.468207	98.604427	98.19918	98.631652	97.699487
3873.0	97.393229	98.024322	97.99319	97.749236	98.156425	98.136177	98.400989	98.473233	98.611246	98.212585	98.626639	97.709801
3872.0	97.400363	98.03258	97.996567	97.758842	98.162983	98.152084	98.406205	98.475979	98.620811	98.231248	98.62125	97.718012
3871.0	97.398728	98.026412	97.994816	97.754874	98.16107	98.164876	98.412372	98.474662	98.628753	98.245748	98.615545	97.723746
3870.0	97.392784	98.013282	97.992661	97.744727	98.167874	98.163512	98.415779	98.471867	98.627302	98.247343	98.607943	97.730692
3869.0	97.389382	98.005974	97.994169	97.736565	98.187175	98.153473	98.413432	98.471323	98.616204	98.236411	98.601988	97.738577
3868.0	97.390684	98.007942	97.998017	97.728551	98.202516	98.147777	98.407865	98.473669	98.602188	98.222252	98.603013	97.742715
3867.0	97.394824	98.01413	97.999521	97.717833	98.201492	98.149964	98.405392	98.476687	98.591119	98.214015	98.610003	97.741115
3866.0	97.399417	98.017019	97.997107	97.707225	98.187837	98.152804	98.408945	98.47898	98.584638	98.213206	98.616352	97.735591
3865.0	97.401783	98.011615	97.993846	97.700344	98.173507	98.149755	98.414593	98.480766	98.581531	98.212896	98.61719	97.729356
3864.0	97.39834	98.000949	97.993318	97.696945	98.166679	98.142408	98.41595	98.481166	98.578817	98.206592	98.613425	97.724956
3863.0	97.387621	97.994343	97.995437	97.69566	98.166868	98.137165	98.41194	98.478128	98.57429	98.196908	98.608666	97.723634
3862.0	97.373826	97.998345	97.996351	97.699346	98.170493	98.137769	98.408308	98.471177	98.570163	98.192639	98.604052	97.726855
3861.0	97.363732	98.009462	97.993528	97.710705	98.173899	98.144113	98.410571	98.462689	98.572928	98.199047	98.599404	97.734033
3860.0	97.359832	98.016876	97.989275	97.726481	98.174653	98.151746	98.417149	98.456763	98.585007	98.213636	98.594825	97.741125
3859.0	97.357948	98.013778	97.988346	97.741576	98.175599	98.154443	98.420644	98.457264	98.600144	98.228532	98.589203	97.744784
3858.0	97.352214	98.005065	97.992999	97.754939	98.183685	98.148799	98.41425	98.46542	98.608273	98.237598	98.580485	97.74613
