ν,LD-Alanina No Magnetizada Irradiada Petri,LD-Alanina No Magnetizada  Eppendorf,LD-Alanina Irradiada No Magnetizada Eppendorf,LD-Alanina  No Magnetizada Petri,L-Alanina No Magnetizada Irradiada Petri,L-Alanina No Magnetizada  Eppendorf,L-Alanina Irradiada No Magnetizada Eppendorf,L-Alanina  No Magnetizada Petri,D-Alanina No Magnetizada Irradiada Petri,D-Alanina No Magnetizada Eppendorf,D-Alanina Irradiada No Magnetizada Eppendorf,D-Alanina  No Magnetizada Petri
3940.0,99.700075,98.194131,98.017743,97.068746,98.085685,97.969372,97.895089,99.269236,98.484206,98.416153,97.600433,98.070174
3939.0,99.696279,98.202533,98.020398,97.065183,98.069167,97.964471,97.89124,99.26075,98.484842,98.412794,97.599843,98.072604
3938.0,99.68452,98.201819,98.021109,97.060586,98.054534,97.959826,97.888054,99.251178,98.48,98.412504,97.599667,98.069923
3937.0,99.673592,98.192575,98.017916,97.057945,98.04735,97.955231,97.885809,99.246022,98.47251,98.417761,97.599572,98.065431
3936.0,99.671992,98.178778,98.013467,97.057535,98.047824,97.950528,97.88555,99.248266,98.466152,98.427812,97.59948,98.061906
3935.0,99.680063,98.16547,98.011488,97.057669,98.051564,97.946156,97.887926,99.255003,98.461915,98.436721,97.598778,98.059435
3934.0,99.690437,98.156839,98.012504,97.056469,98.05386,97.942395,97.891931,99.259336,98.457273,98.437597,97.596934,98.055223
3933.0,99.695231,98.155024,98.01291,97.052911,98.053851,97.938874,97.89535,99.255967,98.449578,98.429421,97.59437,98.046349
3932.0,99.692177,98.159381,98.008724,97.046706,98.054878,97.93558,97.896609,99.245623,98.440017,98.418346,97.592715,98.033883
3931.0,99.684342,98.166891,97.999535,97.038755,98.060491,97.933971,97.896023,99.234669,98.433132,98.411895,97.593181,98.023954
3930.0,99.676154,98.173753,97.988619,97.030653,98.069941,97.935819,97.894813,99.23031,98.431857,98.412504,97.595421,98.022736
3929.0,99.670487,98.176607,97.980838,97.02239,98.077632,97.940473,97.893819,99.235302,98.434409,98.416678,97.59881,98.029481
3928.0,99.667598,98.173587,97.979482,97.012597,98.07719,97.944077,97.893194,99.246344,98.43677,98.419321,97.603078,98.036213
3927.0,99.665541,98.165507,97.983718,97.001845,98.066754,97.942547,97.892819,99.257044,98.437331,98.417551,97.607333,98.035256
3926.0,99.662922,98.155228,97.989008,96.993986,98.051134,97.935806,97.893137,99.262138,98.438086,98.411803,97.609714,98.026182
3925.0,99.661995,98.145865,97.990238,96.993435,98.038732,97.928667,97.894312,99.261279,98.441207,98.405276,97.608556,98.01649
3924.0,99.666124,98.139866,97.98585,97.000851,98.034995,97.926397,97.894943,99.259134,98.445587,98.402218,97.604092,98.014508
3923.0,99.673735,98.138161,97.978622,97.013073,98.038639,97.929655,97.893105,99.260698,98.447802,98.404606,97.597768,98.021659
3922.0,99.678672,98.139566,97.972253,97.027348,98.043626,97.934482,97.887818,99.267701,98.445388,98.409457,97.589936,98.033414
3921.0,99.678172,98.141693,97.969619,97.042569,98.04429,97.936518,97.879851,99.278377,98.438672,98.411647,97.580535,98.044832
3920.0,99.677507,98.143331,97.972741,97.057246,98.039476,97.934297,97.871405,99.289102,98.430617,98.410012,97.570943,98.053455
3919.0,99.684094,98.145155,97.981933,97.068136,98.033025,97.929043,97.86487,99.295943,98.425549,98.408307,97.563936,98.058262
3918.0,99.697831,98.147587,97.993985,97.072335,98.030319,97.922555,97.861251,99.296268,98.426812,98.409792,97.561038,98.058366
3917.0,99.711045,98.149527,98.003481,97.070324,98.033896,97.916476,97.859814,99.290454,98.434365,98.413472,97.56114,98.053999
3916.0,99.717664,98.150528,98.007853,97.065459,98.042158,97.913103,97.859851,99.281781,98.444672,98.416681,97.562635,98.047415
3915.0,99.718568,98.152443,98.009546,97.060887,98.051332,97.914799,97.861817,99.274012,98.453234,98.418729,97.565423,98.041706
3914.0,99.717602,98.157054,98.012059,97.057602,98.057758,97.921799,97.865978,99.268893,98.457339,98.420176,97.569955,98.038416
3913.0,99.715862,98.162529,98.015973,97.0554,98.05878,97.931442,97.870884,99.265716,98.457064,98.420856,97.575734,98.036664
3912.0,99.710665,98.165295,98.01937,97.054416,98.053748,97.940247,97.874283,99.262942,98.455001,98.420885,97.581643,98.034675
3911.0,99.699528,98.164638,98.021441,97.054722,98.044716,97.946489,97.875638,99.259846,98.454646,98.421463,97.587637,98.031366
3910.0,99.683593,98.164296,98.023271,97.055599,98.035808,97.951067,97.876787,99.257177,98.457994,98.424046,97.594107,98.02699
3909.0,99.66797,98.168566,98.02603,97.055393,98.030839,97.955883,97.87964,99.256608,98.463678,98.428898,97.600645,98.022393
3908.0,99.657384,98.177585,98.030647,97.052165,98.031104,97.96138,97.885078,99.258467,98.467781,98.434926,97.606526,98.01725
3907.0,99.652146,98.187477,98.037335,97.046109,98.035128,97.965543,97.892716,99.260992,98.466617,98.440423,97.611039,98.011148
3906.0,99.648195,98.194425,98.044657,97.041035,98.04016,97.965231,97.901296,99.261883,98.459988,98.443449,97.613166,98.00574
3905.0,99.642648,98.197979,98.047916,97.043485,98.044665,97.959097,97.907978,99.261934,98.452884,98.443022,97.610409,98.006253
3904.0,99.63873,98.201135,98.04256,97.057264,98.049843,97.949427,97.908574,99.266555,98.453187,98.440907,97.601407,98.018422
3903.0,99.64216,98.206391,98.031244,97.078001,98.058119,97.94038,97.902105,99.279876,98.465247,98.442048,97.589981,98.040375
3902.0,99.652769,98.211354,98.022773,97.096579,98.069747,97.934067,97.893911,99.297797,98.484556,98.449593,97.582518,98.061131
3901.0,99.662773,98.210148,98.022851,97.106674,98.081188,97.929272,97.890919,99.310227,98.499463,98.459139,97.581779,98.070503
3900.0,99.664981,98.199315,98.029577,97.107296,98.087657,97.924047,97.895468,99.309167,98.500256,98.461997,97.586165,98.067422
3899.0,99.66008,98.183068,98.0373,97.101506,98.087815,97.918885,97.904107,99.295765,98.487863,98.455086,97.593645,98.059348
3898.0,99.654211,98.17107,98.043068,97.093077,98.084859,97.916348,97.912282,99.278899,98.472533,98.444316,97.604586,98.054051
3897.0,99.651778,98.169449,98.047252,97.084946,98.082796,97.918332,97.918438,99.267384,98.463798,98.437549,97.619166,98.054215
3896.0,99.65319,98.176391,98.050097,97.078968,98.082774,97.924738,97.922844,99.264698,98.46331,98.437671,97.634549,98.059606
3895.0,99.657277,98.185142,98.051968,97.075086,98.082839,97.933834,97.926025,99.268016,98.466654,98.443194,97.646964,98.068576
3894.0,99.662371,98.189564,98.054288,97.072254,98.080606,97.943249,97.92913,99.270196,98.469602,98.451316,97.654007,98.076678
3893.0,99.665096,98.187686,98.057252,97.071785,98.075851,97.951153,97.932686,99.265984,98.471886,98.457019,97.654362,98.078599
3892.0,99.660915,98.182505,98.056982,97.077616,98.07092,97.957215,97.934135,99.258371,98.475632,98.45391,97.647261,98.074296
3891.0,99.650399,98.179325,98.048831,97.090998,98.068057,97.961982,97.928383,99.256915,98.480501,98.441044,97.634368,98.071068
3890.0,99.640357,98.180531,98.035093,97.106355,98.067212,97.965247,97.91577,99.265035,98.482891,98.427785,97.620533,98.07333
3889.0,99.636331,98.183645,98.023555,97.115677,98.067134,97.965031,97.903009,99.275417,98.479896,98.424474,97.609951,98.078344
3888.0,99.635225,98.184925,98.020927,97.113606,98.067126,97.959606,97.895953,99.277686,98.472713,98.43038,97.604606,98.0811
3887.0,99.629228,98.182619,98.027439,97.102248,98.067735,97.951563,97.895768,99.267222,98.466861,98.437213,97.604255,98.078626
3886.0,99.618326,98.178201,98.036754,97.092567,98.070339,97.947281,97.899726,99.251067,98.468513,98.439261,97.607273,98.073507
3885.0,99.612683,98.176589,98.042334,97.095009,98.075532,97.950086,97.903394,99.244766,98.477711,98.439305,97.6121,98.073467
3884.0,99.619879,98.182593,98.04295,97.108651,98.082871,97.956864,97.90545,99.256767,98.487422,98.446761,97.616918,98.081932
3883.0,99.636134,98.195578,98.040622,97.123213,98.092776,97.962825,97.908213,99.279491,98.49062,98.464199,97.618956,98.093868
3882.0,99.650314,98.209134,98.036969,97.128177,98.106177,97.967115,97.913495,99.296141,98.486047,98.480453,97.616756,98.100992
3881.0,99.654209,98.215662,98.033124,97.119658,98.121329,97.972283,97.920556,99.293992,98.47822,98.482643,97.612979,98.09834
3880.0,99.649025,98.212655,98.031479,97.101001,98.132451,97.979553,97.92628,99.27515,98.47319,98.46976,97.613532,98.088725
3879.0,99.641704,98.204975,98.033153,97.079699,98.133725,97.987037,97.927523,99.254151,98.473238,98.454591,97.620109,98.080471
3878.0,99.637308,98.198018,98.036801,97.062335,98.124278,97.992566,97.925363,99.242634,98.476212,98.450852,97.628438,98.079443
3877.0,99.636127,98.193573,98.040048,97.052764,98.108809,97.996301,97.922867,99.242704,98.478938,98.458959,97.63451,98.087384
3876.0,99.635331,98.192508,98.040884,97.053264,98.095131,98.000926,97.921827,99.250008,98.480515,98.469466,97.638817,98.101336
3875.0,99.633679,98.194718,98.037826,97.064903,98.089141,98.008873,97.922027,99.258987,98.482338,98.4751,97.643772,98.114198
