ν,LD-Alanina No Magnetizada Irradiada Petri,LD-Alanina Magnetizada Irradiada Petri,LD-Alanina Irradiada No Magnetizada Eppendorf,LD-Alanina Irradiada Magnetizada Eppendorf,L-Alanina No Magnetizada Irradiada Petri,L-Alanina Magnetizada Irradiada Petri,L-Alanina Irradiada No Magnetizada Eppendorf,L-Alanina Irradiada  Magnetizada Eppendorf,D-Alanina No Magnetizada Irradiada Petri,D-Alanina Magnetizada Irradiada Petri,D-Alanina Irradiada No Magnetizada Eppendorf,D-Alanina Irradiada Magnetizada Eppendorf
1114.0,97.668563,56.196987,48.974969,56.818331,50.834084,65.582007,60.073735,61.140609,60.438133,66.701552,53.018066,80.015132
1113.0,97.66597,55.154175,49.518889,59.100275,49.506158,64.026721,60.01398,61.601811,60.033813,65.89497,52.06617,79.793222
1112.0,97.808462,55.22836,51.303565,62.32809,49.800029,63.788573,61.477603,63.242894,60.901563,66.47436,52.940422,80.390137
1111.0,98.03542,56.147379,53.871621,65.941568,51.39214,64.695744,63.989106,65.714922,62.785108,68.103578,55.154069,81.531059
1110.0,98.301906,57.60794,56.811304,69.503073,53.959751,66.475819,67.181065,68.771904,65.380341,70.425327,58.253556,82.998935
1109.0,98.573499,59.342946,59.810109,72.736127,57.163988,68.801836,70.738176,72.166537,68.345544,73.109553,61.850357,84.632784
1108.0,98.824426,61.171566,62.672029,75.511416,60.635304,71.348804,74.320377,75.587723,71.3489,75.865173,65.58316,86.280695
1107.0,99.042703,62.99869,65.295343,77.808378,64.031434,73.851766,77.605447,78.728714,74.13886,78.462372,69.129589,87.799071
1106.0,99.228763,64.768003,67.632151,79.671941,67.113674,76.136579,80.39323,81.395939,76.581236,80.759511,72.267899,89.094999
1105.0,99.386399,66.432894,69.669742,81.175952,69.7701,78.117097,82.638047,83.538796,78.640434,82.703795,74.909062,90.147419
1104.0,99.518231,67.972623,71.438565,82.4051,71.981734,79.772685,84.38798,85.198684,80.334748,84.301248,77.062257,90.981115
1103.0,99.628048,69.40749,73.011732,83.450849,73.781918,81.126387,85.723499,86.460994,81.709118,85.588114,78.784834,91.63242
1102.0,99.721126,70.775266,74.470436,84.394636,75.233764,82.228434,86.738786,87.433793,82.828353,86.619189,80.158108,92.137725
1101.0,99.801876,72.097099,75.858672,85.276527,76.41588,83.139604,87.529218,88.218913,83.767735,87.458844,81.272966,92.533298
1100.0,99.875534,73.371566,77.171323,86.088752,77.415303,83.919876,88.174187,88.885554,84.597897,88.170335,82.213784,92.852838
1099.0,99.950583,74.587405,78.380761,86.809592,78.322543,84.624915,88.736616,89.47724,85.371897,88.809856,83.051637,93.126319
1098.0,100.032175,75.727993,79.466775,87.435417,79.205305,85.296236,89.264056,90.027375,86.112432,89.417926,83.839426,93.378488
1097.0,100.112323,76.772067,80.423607,87.975561,80.072817,85.945511,89.770834,90.548177,86.807842,90.005182,84.595678,93.620777
1096.0,100.174157,77.707222,81.257404,88.435524,80.883749,86.557926,90.233337,91.021707,87.434587,90.555434,85.3018,93.847486
1095.0,100.209674,78.543454,81.989257,88.823021,81.601747,87.11945,90.626962,91.428196,87.989736,91.052941,85.932928,94.048264
1094.0,100.229358,79.30345,82.650997,89.15853,82.229297,87.633074,90.961002,91.775236,88.490475,91.500132,86.48925,94.223407
1093.0,100.251466,80.000539,83.265017,89.462462,82.783528,88.103215,91.261375,92.081411,88.942544,91.903181,86.987718,94.380673
1092.0,100.28525,80.636581,83.832933,89.740193,83.26958,88.519805,91.535367,92.347825,89.332963,92.25714,87.437163,94.521657
1091.0,100.326163,81.218261,84.35042,89.992691,83.696919,88.873214,91.777077,92.57051,89.662684,92.560893,87.840973,94.642165
1090.0,100.363013,81.759631,84.823658,90.230865,84.094157,89.175357,91.993446,92.76646,89.961851,92.832588,88.213084,94.744973
1089.0,100.387318,82.266899,85.262943,90.464839,84.481464,89.450307,92.197871,92.959717,90.257064,93.09108,88.568642,94.841611
1088.0,100.39902,82.735584,85.670732,90.68842,84.848164,89.710718,92.387193,93.150852,90.544362,93.332514,88.904687,94.939796
1087.0,100.406031,83.166252,86.046373,90.888297,85.180496,89.956551,92.549888,93.324035,90.809547,93.543373,89.208581,95.036271
1086.0,100.416629,83.569476,86.393885,91.061902,85.491112,90.188573,92.690097,93.475508,91.053055,93.726642,89.479268,95.123192
1085.0,100.431539,83.951724,86.716367,91.216114,85.796857,90.4084,92.821921,93.61357,91.276831,93.896599,89.723958,95.196301
1084.0,100.446369,84.310567,87.012453,91.357252,86.087937,90.611994,92.947824,93.740222,91.469293,94.057829,89.943149,95.256771
1083.0,100.461485,84.648423,87.286353,91.49191,86.346896,90.79764,93.063039,93.854722,91.627058,94.209353,90.137117,95.310119
1082.0,100.483886,84.976662,87.550039,91.62751,86.581634,90.974989,93.172072,93.966079,91.774072,94.360239,90.318032,95.363208
1081.0,100.517197,85.300365,87.807234,91.763039,86.812484,91.153453,93.280606,94.081511,91.93529,94.519755,90.497569,95.41851
